Content,Video title,Video publish time,Views,Impressions,Impressions click-through rate (%),Average view duration
_s2KLMF_2mA,Circuito eléctrico|Aplicación | Sistemas de ecuaciones lineales| Regla Cramer,"Oct 7, 2017",17474,14549,6.17,0:03:54
rUK6jAalDeU,"Gran Misterio: La zona mágica de Comala, Colima","Apr 18, 2015",17245,22867,3.86,0:01:09
rCD1E4KYOIo,"Matrices: Multiplicación, inversa y solución de sistemas de ecuaciones lineales (Numpy, SciPy)","Aug 6, 2016",17226,21031,8.54,0:01:45
Dlblv2v9f7c,¿Cómo buscar dentro de una cadena de caracteres? | REGEX | Python │¡Muy Básico! | Parte 1,"Jun 2, 2019",17075,38080,7.54,0:02:53
FpVeXhAQg9w,"Python: Factorización de matrices LU (Paso a paso, básico)","Dec 22, 2016",17043,29879,6.65,0:03:48
YCFHySs60r0,Método de Simpson | Integración numérica |Métodos Numéricos | ¡Muy básico!,"Apr 17, 2020",16955,41449,8.54,0:02:28
IVIp63t549k,Desmos: ¿Cómo sacar una ecuación a partir de datos? (Básico),"Jun 9, 2017",16872,23377,5.86,0:02:52
2tObZDNGTJI,Seaborn para Python: ¿Cómo visualizar datos con Pairplot? (Muy fácil),"Jun 22, 2017",16779,51263,6.38,0:03:01
pvfOl4BFlzI,"¿Cómo hacer las Macros en Excel, para cambiar formatos? (Básico)","Jan 23, 2017",16759,14044,11.91,0:03:20
cJelxUK-oDQ,Minimizar la función objetivo|SciPy | Python |Investigación de operaciones| Muy Básico,"Nov 13, 2017",16554,23217,9.26,0:02:52
oIxSmELR7So,Archivo ejecutable en Python | Windows| PyInstaller |PyQT5| Python | ¡Muy fácil!,"Jan 10, 2018",16518,29192,3.71,0:03:40
aDpfiyCHmiA,Clases │Python │Programación orientada a objetos│¡Muy Básico!,"Dec 26, 2017",16414,19444,4.17,0:03:31
H5-Gwg1UVtY,Normalización| Preprocesamiento de datos | SciKitLearn | Machine Learning| Python | ¡Muy básico!,"Oct 17, 2018",16223,41489,4.64,0:05:00
Oi0V8l1mL_A,Wolfram Alpha: Integrales definidas,"Feb 13, 2016",16083,5875,16.09,0:00:45
2aOOzW5eUjA,🍎 Fórmulas para calificar | Hojas de Cálculo  | Trabajo a Distancia | Google sheets |¡Muy Fácil!,"Mar 28, 2020",16022,15003,6.2,0:03:48
F1TNkJMgMBE,Escribir información a un archivo csv| Pandas  | Python  | ¡Muy Básico!,"Aug 17, 2017",15811,37723,5.86,0:02:44
QHuFDLUTdt4,Modelos Matemáticos |Excel 2016 | ¡Muy fácil! |,"Dec 28, 2017",15689,16150,18.88,0:01:05
